DISTRICT_NAME	AMPHUR_NAME
บ้านใหม่   	เมืองปทุมธานี   
บ้านกลาง   	เมืองปทุมธานี   
บ้านฉาง   	เมืองปทุมธานี   
บ้านกระแชง   	เมืองปทุมธานี   
บางขะแยง   	เมืองปทุมธานี   
บางคูวัด   	เมืองปทุมธานี   
บางหลวง   	เมืองปทุมธานี   
บางเดื่อ   	เมืองปทุมธานี   
บางพูด   	เมืองปทุมธานี   
บางพูน   	เมืองปทุมธานี   
บางกะดี   	เมืองปทุมธานี   
สวนพริกไทย   	เมืองปทุมธานี   
หลักหก   	เมืองปทุมธานี   
คลองหนึ่ง   	คลองหลวง   
คลองสอง   	คลองหลวง   
คลองสาม   	คลองหลวง   
คลองสี่   	คลองหลวง   
คลองห้า   	คลองหลวง   
คลองหก   	คลองหลวง   
คลองเจ็ด   	คลองหลวง   
ประชาธิปัตย์   	ธัญบุรี   
บึงยี่โถ   	ธัญบุรี   
รังสิต   	ธัญบุรี   
ลำผักกูด   	ธัญบุรี   
บึงสนั่น   	ธัญบุรี   
บึงน้ำรักษ์   	ธัญบุรี   
บึงบา   	หนองเสือ   
บึงบอน   	หนองเสือ   
บึงกาสาม   	หนองเสือ   
บึงชำอ้อ   	หนองเสือ   
หนองสามวัง   	หนองเสือ   
ศาลาครุ   	หนองเสือ   
นพรัตน์   	หนองเสือ   
ระแหง   	ลาดหลุมแก้ว   
ลาดหลุมแก้ว   	ลาดหลุมแก้ว   
คูบางหลวง   	ลาดหลุมแก้ว   
คูขวาง   	ลาดหลุมแก้ว   
คลองพระอุดม   	ลาดหลุมแก้ว   
บ่อเงิน   	ลาดหลุมแก้ว   
หน้าไม้   	ลาดหลุมแก้ว   
คูคต   	ลำลูกกา   
ลาดสวาย   	ลำลูกกา   
บึงคำพร้อย   	ลำลูกกา   
ลำลูกกา   	ลำลูกกา   
บึงทองหลาง   	ลำลูกกา   
ลำไทร   	ลำลูกกา   
บึงคอไห   	ลำลูกกา   
พืชอุดม   	ลำลูกกา   
บางเตย   	สามโคก   
คลองควาย   	สามโคก   
สามโคก   	สามโคก   
กระแชง   	สามโคก   
บางโพธิ์เหนือ   	สามโคก   
เชียงรากใหญ่   	สามโคก   
บ้านปทุม   	สามโคก   
บ้านงิ้ว   	สามโคก   
เชียงรากน้อย   	สามโคก   
บางกระบือ   	สามโคก   
ท้ายเกาะ   	สามโคก   
ประตูชัย   	พระนครศรีอยุธยา   
กะมัง   	พระนครศรีอยุธยา   
หอรัตนไชย   	พระนครศรีอยุธยา   
หัวรอ   	พระนครศรีอยุธยา   
ท่าวาสุกรี   	พระนครศรีอยุธยา   
ไผ่ลิง   	พระนครศรีอยุธยา   
ปากกราน   	พระนครศรีอยุธยา   
ภูเขาทอง   	พระนครศรีอยุธยา   
สำเภาล่ม   	พระนครศรีอยุธยา   
สวนพริก   	พระนครศรีอยุธยา   
คลองตะเคียน   	พระนครศรีอยุธยา   
วัดตูม   	พระนครศรีอยุธยา   
หันตรา   	พระนครศรีอยุธยา   
ลุมพลี   	พระนครศรีอยุธยา   
บ้านใหม่   	พระนครศรีอยุธยา   
บ้านเกาะ   	พระนครศรีอยุธยา   
คลองสวนพลู   	พระนครศรีอยุธยา   
คลองสระบัว   	พระนครศรีอยุธยา   
เกาะเรียน   	พระนครศรีอยุธยา   
บ้านป้อม   	พระนครศรีอยุธยา   
บ้านรุน   	พระนครศรีอยุธยา   
*จำปา   	พระนครศรีอยุธยา   
ท่าเรือ   	ท่าเรือ   
จำปา   	ท่าเรือ   
ท่าหลวง   	ท่าเรือ   
บ้านร่อม   	ท่าเรือ   
ศาลาลอย   	ท่าเรือ   
วังแดง   	ท่าเรือ   
โพธิ์เอน   	ท่าเรือ   
ปากท่า   	ท่าเรือ   
หนองขนาก   	ท่าเรือ   
ท่าเจ้าสนุก   	ท่าเรือ   
นครหลวง   	นครหลวง   
ท่าช้าง   	นครหลวง   
บ่อโพง   	นครหลวง   
บ้านชุ้ง   	นครหลวง   
ปากจั่น   	นครหลวง   
บางระกำ   	นครหลวง   
บางพระครู   	นครหลวง   
แม่ลา   	นครหลวง   
หนองปลิง   	นครหลวง   
คลองสะแก   	นครหลวง   
สามไถ   	นครหลวง   
พระนอน   	นครหลวง   
บางไทร   	บางไทร   
บางพลี   	บางไทร   
สนามชัย   	บางไทร   
บ้านแป้ง   	บางไทร   
หน้าไม้   	บางไทร   
บางยี่โท   	บางไทร   
แคออก   	บางไทร   
แคตก   	บางไทร   
ช่างเหล็ก   	บางไทร   
กระแชง   	บางไทร   
บ้านกลึง   	บางไทร   
ช้างน้อย   	บางไทร   
ห่อหมก   	บางไทร   
ไผ่พระ   	บางไทร   
กกแก้วบูรพา   	บางไทร   
ไม้ตรา   	บางไทร   
บ้านม้า   	บางไทร   
บ้านเกาะ   	บางไทร   
ราชคราม   	บางไทร   
ช้างใหญ่   	บางไทร   
โพแตง   	บางไทร   
เชียงรากน้อย   	บางไทร   
โคกช้าง   	บางไทร   
บางบาล   	บางบาล   
วัดยม   	บางบาล   
ไทรน้อย   	บางบาล   
สะพานไทย   	บางบาล   
มหาพราหมณ์   	บางบาล   
กบเจา   	บางบาล   
บ้านคลัง   	บางบาล   
พระขาว   	บางบาล   
น้ำเต้า   	บางบาล   
ทางช้าง   	บางบาล   
วัดตะกู   	บางบาล   
บางหลวง   	บางบาล   
บางหลวงโดด   	บางบาล   
บางหัก   	บางบาล   
บางชะนี   	บางบาล   
บ้านกุ่ม   	บางบาล   
บ้านเลน   	บางปะอิน   
เชียงรากน้อย   	บางปะอิน   
บ้านโพ   	บางปะอิน   
บ้านกรด   	บางปะอิน   
บางกระสั้น   	บางปะอิน   
คลองจิก   	บางปะอิน   
บ้านหว้า   	บางปะอิน   
วัดยม   	บางปะอิน   
บางประแดง   	บางปะอิน   
สามเรือน   	บางปะอิน   
เกาะเกิด   	บางปะอิน   
บ้านพลับ   	บางปะอิน   
บ้านแป้ง   	บางปะอิน   
คุ้งลาน   	บางปะอิน   
ตลิ่งชัน   	บางปะอิน   
บ้านสร้าง   	บางปะอิน   
ตลาดเกรียบ   	บางปะอิน   
ขนอนหลวง   	บางปะอิน   
บางปะหัน   	บางปะหัน   
ขยาย   	บางปะหัน   
บางเดื่อ   	บางปะหัน   
เสาธง   	บางปะหัน   
ทางกลาง   	บางปะหัน   
บางเพลิง   	บางปะหัน   
หันสัง   	บางปะหัน   
บางนางร้า   	บางปะหัน   
ตานิม   	บางปะหัน   
ทับน้ำ   	บางปะหัน   
บ้านม้า   	บางปะหัน   
ขวัญเมือง   	บางปะหัน   
บ้านลี่   	บางปะหัน   
โพธิ์สามต้น   	บางปะหัน   
พุทเลา   	บางปะหัน   
ตาลเอน   	บางปะหัน   
บ้านขล้อ   	บางปะหัน   
ผักไห่   	ผักไห่   
อมฤต   	ผักไห่   
บ้านแค   	ผักไห่   
ลาดน้ำเค็ม   	ผักไห่   
ตาลาน   	ผักไห่   
ท่าดินแดง   	ผักไห่   
ดอนลาน   	ผักไห่   
นาคู   	ผักไห่   
กุฎี   	ผักไห่   
ลำตะเคียน   	ผักไห่   
โคกช้าง   	ผักไห่   
จักราช   	ผักไห่   
หนองน้ำใหญ่   	ผักไห่   
ลาดชิด   	ผักไห่   
หน้าโคก   	ผักไห่   
บ้านใหญ่   	ผักไห่   
ภาชี   	ภาชี   
โคกม่วง   	ภาชี   
ระโสม   	ภาชี   
หนองน้ำใส   	ภาชี   
ดอนหญ้านาง   	ภาชี   
ไผ่ล้อม   	ภาชี   
กระจิว   	ภาชี   
พระแก้ว   	ภาชี   
ลาดบัวหลวง   	ลาดบัวหลวง   
หลักชัย   	ลาดบัวหลวง   
สามเมือง   	ลาดบัวหลวง   
พระยาบันลือ   	ลาดบัวหลวง   
สิงหนาท   	ลาดบัวหลวง   
คู้สลอด   	ลาดบัวหลวง   
คลองพระยาบันลือ   	ลาดบัวหลวง   
ลำตาเสา   	วังน้อย   
บ่อตาโล่   	วังน้อย   
วังน้อย   	วังน้อย   
ลำไทร   	วังน้อย   
สนับทึบ   	วังน้อย   
พยอม   	วังน้อย   
หันตะเภา   	วังน้อย   
วังจุฬา   	วังน้อย   
ข้าวงาม   	วังน้อย   
ชะแมบ   	วังน้อย   
เสนา   	เสนา   
บ้านแพน   	เสนา   
เจ้าเจ็ด   	เสนา   
สามกอ   	เสนา   
บางนมโค   	เสนา   
หัวเวียง   	เสนา   
มารวิชัย   	เสนา   
บ้านโพธิ์   	เสนา   
รางจรเข้   	เสนา   
บ้านกระทุ่ม   	เสนา   
บ้านแถว   	เสนา   
ชายนา   	เสนา   
สามตุ่ม   	เสนา   
ลาดงา   	เสนา   
ดอนทอง   	เสนา   
บ้านหลวง   	เสนา   
เจ้าเสด็จ   	เสนา   
บางซ้าย   	บางซ้าย   
แก้วฟ้า   	บางซ้าย   
เต่าเล่า   	บางซ้าย   
ปลายกลัด   	บางซ้าย   
เทพมงคล   	บางซ้าย   
วังพัฒนา   	บางซ้าย   
คานหาม   	อุทัย   
บ้านช้าง   	อุทัย   
สามบัณฑิต   	อุทัย   
บ้านหีบ   	อุทัย   
หนองไม้ซุง   	อุทัย   
อุทัย   	อุทัย   
เสนา   	อุทัย   
หนองน้ำส้ม   	อุทัย   
โพสาวหาญ   	อุทัย   
ธนู   	อุทัย   
ข้าวเม่า   	อุทัย   
หัวไผ่   	มหาราช   
กะทุ่ม   	มหาราช   
มหาราช   	มหาราช   
น้ำเต้า   	มหาราช   
บางนา   	มหาราช   
โรงช้าง   	มหาราช   
เจ้าปลุก   	มหาราช   
พิตเพียน   	มหาราช   
บ้านนา   	มหาราช   
บ้านขวาง   	มหาราช   
ท่าตอ   	มหาราช   
บ้านใหม่   	มหาราช   
บ้านแพรก   	บ้านแพรก   
บ้านใหม่   	บ้านแพรก   
สำพะเนียง   	บ้านแพรก   
คลองน้อย   	บ้านแพรก   
สองห้อง   	บ้านแพรก   
ตลาดหลวง   	เมืองอ่างทอง   
บางแก้ว   	เมืองอ่างทอง   
ศาลาแดง   	เมืองอ่างทอง   
ป่างิ้ว   	เมืองอ่างทอง   
บ้านแห   	เมืองอ่างทอง   
ตลาดกรวด   	เมืองอ่างทอง   
มหาดไทย   	เมืองอ่างทอง   
บ้านอิฐ   	เมืองอ่างทอง   
หัวไผ่   	เมืองอ่างทอง   
จำปาหล่อ   	เมืองอ่างทอง   
โพสะ   	เมืองอ่างทอง   
บ้านรี   	เมืองอ่างทอง   
คลองวัว   	เมืองอ่างทอง   
ย่านซื่อ   	เมืองอ่างทอง   
จรเข้ร้อง   	ไชโย   
ไชยภูมิ   	ไชโย   
ชัยฤทธิ์   	ไชโย   
เทวราช   	ไชโย   
ราชสถิตย์   	ไชโย   
ไชโย   	ไชโย   
หลักฟ้า   	ไชโย   
ชะไว   	ไชโย   
ตรีณรงค์   	ไชโย   
บางปลากด   	ป่าโมก   
ป่าโมก   	ป่าโมก   
สายทอง   	ป่าโมก   
โรงช้าง   	ป่าโมก   
บางเสด็จ   	ป่าโมก   
นรสิงห์   	ป่าโมก   
เอกราช   	ป่าโมก   
โผงเผง   	ป่าโมก   
อ่างแก้ว   	โพธิ์ทอง   
อินทประมูล   	โพธิ์ทอง   
บางพลับ   	โพธิ์ทอง   
หนองแม่ไก่   	โพธิ์ทอง   
รำมะสัก   	โพธิ์ทอง   
บางระกำ   	โพธิ์ทอง   
โพธิ์รังนก   	โพธิ์ทอง   
องครักษ์   	โพธิ์ทอง   
โคกพุทรา   	โพธิ์ทอง   
ยางช้าย   	โพธิ์ทอง   
บ่อแร่   	โพธิ์ทอง   
ทางพระ   	โพธิ์ทอง   
สามง่าม   	โพธิ์ทอง   
บางเจ้าฉ่า   	โพธิ์ทอง   
คำหยาด   	โพธิ์ทอง   
แสวงหา   	แสวงหา   
ศรีพราน   	แสวงหา   
บ้านพราน   	แสวงหา   
วังน้ำเย็น   	แสวงหา   
สีบัวทอง   	แสวงหา   
ห้วยไผ่   	แสวงหา   
จำลอง   	แสวงหา   
ไผ่จำศิล   	วิเศษชัยชาญ   
ศาลเจ้าโรงทอง   	วิเศษชัยชาญ   
ไผ่ดำพัฒนา   	วิเศษชัยชาญ   
สาวร้องไห้   	วิเศษชัยชาญ   
ท่าช้าง   	วิเศษชัยชาญ   
